"rowID","ProfID","HorID","lon","lat","top","bottom"
1,"PROF0157",101031,-98.2828293,37.949604,0,19
5,"PROF0157",101032,-98.2828293,37.949604,19,32
9,"PROF0157",101033,-98.2828293,37.949604,32,47
13,"PROF0157",101034,-98.2828293,37.949604,47,58
17,"PROF0157",101035,-98.2828293,37.949604,58,82
21,"PROF0157",101036,-98.2828293,37.949604,82,99
25,"PROF0157",101037,-98.2828293,37.949604,99,145
29,"PROF0157",101038,-98.2828293,37.949604,145,174
33,"PROF0157",101039,-98.2828293,37.949604,174,207
37,"PROF0157",101040,-98.2828293,37.949604,207,236
41,"PROF0157",101041,-98.2828293,37.949604,236,253
45,"PROF0157",101042,-98.2828293,37.949604,253,278
49,"PROF0157",101043,-98.2828293,37.949604,278,295
53,"PROF0157",101044,-98.2828293,37.949604,295,351
57,"PROF0156",101045,-98.2844391,37.9477959,0,11
61,"PROF0156",101046,-98.2844391,37.9477959,11,35
65,"PROF0156",101047,-98.2844391,37.9477959,35,55
69,"PROF0156",101048,-98.2844391,37.9477959,55,69
73,"PROF0156",101049,-98.2844391,37.9477959,69,83
77,"PROF0156",101050,-98.2844391,37.9477959,83,108
81,"PROF0156",101051,-98.2844391,37.9477959,108,124
85,"PROF0156",101052,-98.2844391,37.9477959,124,164
89,"PROF0156",101053,-98.2844391,37.9477959,164,190
93,"PROF0156",101054,-98.2844391,37.9477959,190,221
97,"PROF0156",101055,-98.2844391,37.9477959,221,263
101,"PROF0158",101056,-98.2826157,37.947197,0,26
105,"PROF0158",101057,-98.2826157,37.947197,26,41
109,"PROF0158",101058,-98.2826157,37.947197,41,58
113,"PROF0158",101059,-98.2826157,37.947197,58,77
117,"PROF0158",101060,-98.2826157,37.947197,77,96
121,"PROF0158",101061,-98.2826157,37.947197,96,109
125,"PROF0158",101062,-98.2826157,37.947197,109,136
129,"PROF0158",101063,-98.2826157,37.947197,136,151
133,"PROF0158",101064,-98.2826157,37.947197,151,166
137,"PROF0158",101065,-98.2826157,37.947197,166,196
141,"PROF0158",101066,-98.2826157,37.947197,196,256
145,"PROF0055",102071,-100.5613333,37.7945556,0,15
149,"PROF0055",102072,-100.5613333,37.7945556,15,42
153,"PROF0055",102073,-100.5613333,37.7945556,42,80
157,"PROF0055",102074,-100.5613333,37.7945556,80,111
161,"PROF0055",102075,-100.5613333,37.7945556,111,144
165,"PROF0055",102076,-100.5613333,37.7945556,144,171
169,"PROF0055",102077,-100.5613333,37.7945556,171,205
173,"PROF0058",102078,-100.5412216,37.8573608,0,10
177,"PROF0058",102079,-100.5412216,37.8573608,10,33
181,"PROF0058",102080,-100.5412216,37.8573608,33,49
185,"PROF0058",102081,-100.5412216,37.8573608,49,65
189,"PROF0058",102082,-100.5412216,37.8573608,65,78
193,"PROF0058",102083,-100.5412216,37.8573608,78,132
197,"PROF0058",102084,-100.5412216,37.8573608,132,160
201,"PROF0034",102085,-100.8413086,38.7571106,0,12
205,"PROF0034",102087,-100.8413086,38.7571106,21,43
209,"PROF0034",102088,-100.8413086,38.7571106,43,77
213,"PROF0324",103549,-95.6044464,37.6883888,0,16
217,"PROF0324",103550,-95.6044464,37.6883888,16,38
221,"PROF0324",103551,-95.6044464,37.6883888,38,55
225,"PROF0324",103552,-95.6044464,37.6883888,55,88
229,"PROF0012",105883,-101.6669998,38.8320833,0,17
233,"PROF0012",105884,-101.6669998,38.8320833,17,36
237,"PROF0012",105885,-101.6669998,38.8320833,36,62
241,"PROF0012",105886,-101.6669998,38.8320833,62,85
245,"PROF0012",105887,-101.6669998,38.8320833,85,106
249,"PROF0012",105888,-101.6669998,38.8320833,106,154
253,"PROF0012",105889,-101.6669998,38.8320833,154,200
257,"PROF0003",105890,-101.9787342,39.069884,0,12
261,"PROF0003",105891,-101.9787342,39.069884,12,26
265,"PROF0003",105892,-101.9787342,39.069884,26,43
269,"PROF0003",105893,-101.9787342,39.069884,43,65
273,"PROF0003",105894,-101.9787342,39.069884,65,92
277,"PROF0003",105895,-101.9787342,39.069884,92,120
281,"PROF0003",105896,-101.9787342,39.069884,120,135
285,"PROF0003",105897,-101.9787342,39.069884,135,171
289,"PROF0369",106157,-95.2036133,39.042778,0,13
293,"PROF0369",106158,-95.2036133,39.042778,13,30
297,"PROF0363",106159,-95.2074966,39.0224724,0,18
301,"PROF0363",106160,-95.2074966,39.0224724,18,30
305,"PROF0363",106161,-95.2074966,39.0224724,30,46
309,"PROF0363",106162,-95.2074966,39.0224724,46,61
313,"PROF0363",106163,-95.2074966,39.0224724,61,74
317,"PROF0363",106164,-95.2074966,39.0224724,74,94
321,"PROF0363",106165,-95.2074966,39.0224724,94,117
325,"PROF0363",106166,-95.2074966,39.0224724,117,154
329,"PROF0363",106167,-95.2074966,39.0224724,154,206
333,"PROF0364",106168,-95.2071075,39.0212784,0,16
337,"PROF0364",106169,-95.2071075,39.0212784,16,38
341,"PROF0364",106170,-95.2071075,39.0212784,38,50
345,"PROF0364",106171,-95.2071075,39.0212784,50,94
349,"PROF0364",106172,-95.2071075,39.0212784,94,137
353,"PROF0364",106173,-95.2071075,39.0212784,137,167
357,"PROF0364",106174,-95.2071075,39.0212784,167,192
361,"PROF0364",106175,-95.2071075,39.0212784,192,210
365,"PROF0306",106650,-95.7835877,37.8610334,0,7
369,"PROF0306",106651,-95.7835877,37.8610334,7,18
373,"PROF0306",106652,-95.7835877,37.8610334,18,32
377,"PROF0306",106653,-95.7835877,37.8610334,32,46
381,"PROF0306",106654,-95.7835877,37.8610334,46,74
385,"PROF0306",106655,-95.7835877,37.8610334,74,101
389,"PROF0306",106656,-95.7835877,37.8610334,101,128
393,"PROF0306",106657,-95.7835877,37.8610334,128,181
397,"PROF0306",106658,-95.7835877,37.8610334,181,188
401,"PROF0335",106659,-95.4516667,38.6463889,0,7
405,"PROF0335",106660,-95.4516667,38.6463889,7,21
409,"PROF0335",106661,-95.4516667,38.6463889,21,36
413,"PROF0335",106662,-95.4516667,38.6463889,36,59
417,"PROF0335",106663,-95.4516667,38.6463889,59,89
421,"PROF0335",106664,-95.4516667,38.6463889,89,106
425,"PROF0388",106665,-95.1661111,38.4861111,0,7
429,"PROF0388",106666,-95.1661111,38.4861111,7,21
433,"PROF0388",106667,-95.1661111,38.4861111,21,36
437,"PROF0388",106668,-95.1661111,38.4861111,36,53
441,"PROF0388",106669,-95.1661111,38.4861111,53,85
445,"PROF0388",106670,-95.1661111,38.4861111,85,130
449,"PROF0388",106671,-95.1661111,38.4861111,130,163
453,"PROF0401",106672,-95.0011111,38.3166667,0,8
457,"PROF0401",106673,-95.0011111,38.3166667,8,24
461,"PROF0401",106674,-95.0011111,38.3166667,24,38
465,"PROF0401",106675,-95.0011111,38.3166667,38,60
469,"PROF0401",106676,-95.0011111,38.3166667,60,98
473,"PROF0401",106677,-95.0011111,38.3166667,98,132
477,"PROF0401",106678,-95.0011111,38.3166667,132,140
481,"PROF0310",106679,-95.7561111,38.5269444,0,7
485,"PROF0310",106680,-95.7561111,38.5269444,7,18
489,"PROF0310",106681,-95.7561111,38.5269444,18,29
493,"PROF0310",106682,-95.7561111,38.5269444,29,41
497,"PROF0310",106683,-95.7561111,38.5269444,41,60
501,"PROF0310",106684,-95.7561111,38.5269444,60,99
505,"PROF0310",106685,-95.7561111,38.5269444,99,106
509,"PROF0331",109011,-95.5406278,38.4035667,0,12
513,"PROF0331",109012,-95.5406278,38.4035667,12,24
517,"PROF0331",109014,-95.5406278,38.4035667,36,58
521,"PROF0331",109015,-95.5406278,38.4035667,58,79
525,"PROF0331",109016,-95.5406278,38.4035667,79,110
529,"PROF0331",109017,-95.5406278,38.4035667,110,128
533,"PROF0330",109018,-95.5569305,37.8561211,0,9
537,"PROF0330",109019,-95.5569305,37.8561211,9,19
541,"PROF0330",109021,-95.5569305,37.8561211,32,53
545,"PROF0330",109022,-95.5569305,37.8561211,53,74
549,"PROF0330",109023,-95.5569305,37.8561211,74,96
553,"PROF0330",109024,-95.5569305,37.8561211,96,101
557,"PROF0414",109025,-94.8418198,37.5755234,0,7
561,"PROF0414",109026,-94.8418198,37.5755234,7,17
565,"PROF0414",109028,-94.8418198,37.5755234,31,57
569,"PROF0414",109029,-94.8418198,37.5755234,57,79
573,"PROF0414",109030,-94.8418198,37.5755234,79,110
577,"PROF0349",109031,-95.3433075,37.372467,0,11
581,"PROF0349",109032,-95.3433075,37.372467,11,22
585,"PROF0349",109034,-95.3433075,37.372467,30,54
589,"PROF0349",109035,-95.3433075,37.372467,54,73
593,"PROF0349",109036,-95.3433075,37.372467,73,107
